date,"Amazon UK",Google,IBM,Workday,"Intel Corporation",EMC,Proofpoint,"Groupon EMEA",Microsoft,"GKR Search and Selection","See More","Allen Recruitment Consulting","Aon Centre for Innovation and Analytics (ACIA)","GemPool Recruitment",AOL,Cisco,VMware,Amazon,"Computer Futures",Ammeon,Groupon,Aon,Tyco,"DIGIT Game Studios","Bank of America",Deloitte,"Web Summit"
2015-05-28,40,21,25,21,8,,6,,,,5,,,5,,,6,31,,18,9,,10,,,5,5
2015-05-29,41,19,25,20,9,,6,,,,5,,,5,,,6,33,,18,9,,8,5,,5,5
2015-05-30,41,19,25,19,9,,6,,,,5,,,,,,6,33,,18,9,,8,7,5,5,5
2015-05-31,40,19,25,19,9,,6,,,,5,,,,,,6,33,,18,9,,8,7,5,5,5
2015-06-01,41,20,24,19,9,,6,,,,5,,,,,,6,33,,14,9,,8,7,6,5,5
2015-06-02,41,20,23,19,9,,6,,,,5,,,,,,6,32,,14,9,,8,7,6,5,5
2015-06-03,41,20,23,19,9,,6,7,,,5,,,,,,6,32,,14,10,,9,7,6,5,
2015-06-04,41,20,22,20,9,,9,7,,,5,,,,,,6,32,,14,10,,9,7,6,5,
2015-06-05,41,19,21,20,10,6,9,7,,,5,,,,,5,,32,,15,10,,9,7,,5,
2015-06-06,41,19,21,20,10,,9,7,,,5,,,,,6,,32,,15,11,,9,7,5,5,
2015-06-07,40,19,21,20,10,,9,7,,,5,,,,,6,,32,,15,11,,9,7,6,5,
2015-06-08,40,18,20,20,10,,9,9,,,5,,,,,6,,32,,15,11,,9,7,6,5,
2015-06-09,42,18,20,19,11,6,9,9,,,6,,,,,6,,32,,15,11,,9,7,6,,
2015-06-10,43,18,20,19,11,6,9,8,,,6,,,,,8,,33,,15,12,,9,7,6,,
2015-06-11,43,18,21,19,11,6,9,8,,,6,,,,,8,,33,,15,12,,9,7,6,,
2015-06-12,37,18,21,20,11,6,9,8,,,6,,,,,8,,32,,15,12,,9,7,6,,
2015-06-13,36,18,21,20,11,6,9,8,,,6,,,,,8,,32,,15,12,,9,7,6,,
2015-06-14,37,18,20,20,11,6,9,8,,,6,,,,,8,,32,,15,12,,9,7,6,,
2015-06-15,41,18,18,20,11,,8,9,,,5,,,,,8,,32,,15,12,,9,7,6,5,
2015-06-16,41,18,18,20,11,,8,9,,,5,,,,,8,,33,,15,12,,9,7,6,5,
2015-06-17,41,18,18,20,12,,8,8,,,5,,,,,8,,33,,15,12,,9,7,6,5,
2015-06-18,40,18,19,20,11,,8,8,,,5,,,,,8,,33,,15,12,,9,7,6,5,
2015-06-19,42,18,19,20,10,,8,8,,,6,,6,,,8,,33,,15,12,,8,7,6,,
2015-06-20,41,18,18,20,10,,8,8,,,6,,,,,8,6,33,,15,12,,8,7,6,,
2015-06-21,41,18,18,20,10,,8,8,,,6,,,,,8,6,33,,15,12,,8,7,6,,
2015-06-22,41,18,17,20,10,,8,8,,,6,,,,,8,8,33,,15,12,,8,7,6,,
2015-06-23,41,17,18,20,10,,9,7,,,6,,,,,8,8,33,,15,13,,8,7,6,,
2015-06-24,41,15,19,19,10,8,9,7,,,7,,,,,8,8,33,,15,13,,7,7,,,
2015-06-25,40,18,19,18,10,8,9,7,,,7,,,,,8,8,33,,15,13,,7,7,,,
2015-06-26,42,19,19,18,9,6,9,7,,,6,,,,,8,8,33,,15,13,,7,7,,,
2015-06-27,42,19,19,18,9,7,9,7,,,7,,,,,8,8,33,,15,13,,7,7,,,
2015-06-28,42,19,19,18,9,8,9,7,,,6,,6,,,8,8,33,,15,13,,7,,,,
2015-06-29,44,18,19,18,9,8,9,6,,,6,,6,,,8,8,33,,15,13,,7,,,,
2015-06-30,45,18,19,18,8,9,9,6,,,6,,,,,8,8,33,23,15,13,,7,,,,
2015-07-01,44,17,18,18,8,7,9,,,,7,,,,,8,8,33,23,15,13,7,7,,,,
2015-07-02,44,16,19,18,,7,9,6,,,5,,6,,5,8,8,,,,,,,,,,
2015-07-03,44,16,19,18,,7,9,6,,,5,,6,,5,8,,,,,,,,,,,
2015-07-04,45,16,19,18,,7,9,6,,,5,,6,,5,8,,,,,,,,,,,
2015-07-05,45,16,19,18,,6,9,6,,,5,,6,,5,8,,,,,,,,,,,
2015-07-07,45,17,19,18,12,10,10,7,,,5,,6,,5,8,,,,,,,,,,,
2015-07-08,44,18,19,19,12,10,10,7,,,5,,6,,5,,,,,,,,,,,,
2015-07-09,43,19,18,19,11,11,10,7,7,,6,,6,,,,,,,,,,,,,,
2015-07-10,43,18,18,19,11,12,10,8,6,,6,,6,,,,,,,,,,,,,,
2015-07-11,44,18,17,19,11,12,10,8,5,,5,,6,,,,,,,,,,,,,,
2015-07-12,44,18,17,19,12,11,10,8,5,,5,,6,,,,,,,,,,,,,,
2015-07-13,44,18,18,19,12,12,10,8,5,,5,,6,5,,,,,,,,,,,,,
2015-07-14,46,17,18,17,12,12,10,8,6,5,5,,6,5,,,,,,,,,,,,,
2015-07-15,42,20,17,17,,10,10,8,6,5,5,,6,,,,,,,,,,,,,,
2015-07-16,42,21,13,17,11,10,10,8,6,5,5,5,6,,,,,,,,,,,,,,
2015-07-17,42,23,16,15,11,10,9,8,7,5,5,5,,,,,,,,,,,,,,,
2015-07-18,41,23,16,15,10,10,9,8,7,5,5,5,,,,,,,,,,,,,,,
2015-07-19,39,23,16,15,10,11,9,8,7,5,5,5,,,,,,,,,,,,,,,
2015-07-20,41,25,16,15,10,10,9,8,7,5,5,5,,,,,,,,,,,,,,,
2015-07-21,41,22,15,14,10,11,9,8,,5,5,5,,,,,,,,,,,,,,,
2015-07-22,43,21,14,13,10,11,9,8,5,5,5,5,,,,,,,,,,,,,,,
2015-07-23,43,21,14,13,11,8,8,8,6,5,5,,,,,,,,,,,,,,,,
