date,London,Portsmouth,Glasgow,Harrogate
2015-03-11,16,11,,
2015-03-12,16,15,,
2015-03-16,17,13,,
2015-03-18,17,12,5,
2015-03-18,16,12,5,
2015-03-19,16,11,5,
2015-03-20,17,11,5,
2015-03-21,17,11,5,
2015-03-22,17,11,5,
2015-03-23,18,11,5,
2015-03-24,20,12,5,
2015-03-25,19,12,5,
2015-03-26,19,12,5,
2015-03-27,20,14,5,
2015-03-28,20,14,5,
2015-03-29,20,11,5,
2015-03-30,19,14,5,
2015-03-31,18,14,5,
2015-04-01,18,16,5,
2015-04-02,16,17,,
2015-04-03,16,15,5,
2015-04-04,16,13,5,
2015-04-05,16,13,,
2015-04-06,16,12,5,
2015-04-07,17,13,5,
2015-04-08,16,14,5,
2015-04-09,17,14,5,
2015-04-10,18,16,5,
2015-04-11,18,16,5,
2015-04-12,17,16,5,
2015-04-13,17,16,5,
2015-04-14,17,15,5,
2015-04-15,18,14,5,
2015-04-16,19,14,5,
2015-04-17,19,14,5,
2015-04-18,20,14,5,
2015-04-19,20,13,5,
2015-04-20,19,14,5,
2015-04-21,17,14,5,
2015-04-22,17,15,5,
2015-04-23,17,18,5,
2015-04-24,17,20,5,
2015-04-25,15,19,5,
2015-04-26,16,17,5,
2015-04-27,21,17,5,
2015-04-28,22,20,,
2015-04-29,20,20,,
2015-04-30,19,18,,
2015-05-01,19,18,,
2015-05-02,19,18,,
2015-05-03,19,18,,
2015-05-04,19,18,5,
2015-05-05,18,19,5,
2015-05-06,18,20,5,
2015-05-07,17,20,5,
2015-05-08,17,17,5,
2015-05-09,17,17,5,5
2015-05-10,16,15,5,5
2015-05-11,17,14,,5
2015-05-12,18,14,5,5
2015-05-13,20,14,5,5
2015-05-14,20,14,5,5
2015-05-15,19,14,5,5
2015-05-16,18,14,5,5
2015-05-17,17,14,5,5
2015-05-18,17,14,5,
2015-05-19,17,14,5,
2015-05-20,16,15,5,
2015-05-21,18,17,5,
2015-05-22,20,16,5,
2015-05-23,20,14,5,
2015-05-24,20,12,5,
2015-05-25,20,12,,
2015-05-26,21,14,,
2015-05-27,21,15,5,
2015-05-27,18,16,5,
2015-05-28,21,14,5,
2015-05-29,21,15,5,
2015-05-30,22,14,5,
2015-05-31,21,14,5,
2015-06-01,21,15,5,
2015-06-02,23,16,5,
2015-06-03,22,16,5,
2015-06-04,23,17,5,
2015-06-05,22,17,5,
2015-06-06,22,17,5,
2015-06-07,22,17,5,
2015-06-08,22,17,5,
2015-06-09,23,16,5,
2015-06-10,23,18,5,
2015-06-11,21,18,5,
2015-06-12,24,18,,
2015-06-13,23,18,5,
2015-06-14,24,18,,
2015-06-15,24,18,,
2015-06-16,24,19,5,
2015-06-17,25,18,,
2015-06-18,26,18,,
2015-06-19,26,18,,
2015-06-20,26,18,,
2015-06-21,26,17,,
2015-06-22,26,17,,
2015-06-23,26,17,,
2015-06-24,26,18,,
2015-06-25,25,18,,
2015-06-26,26,17,,
2015-06-27,27,17,,
2015-06-28,27,17,5,
2015-06-29,28,17,,
2015-06-30,28,17,,
2015-07-01,26,17,,
2015-07-02,28,16,,
2015-07-03,26,16,,
2015-07-04,25,15,,
2015-07-05,27,14,,
2015-07-07,31,14,,
2015-07-08,33,13,,
2015-07-09,34,12,,
2015-07-10,34,10,,
2015-07-11,34,10,,
2015-07-12,33,10,,
2015-07-13,32,10,,
2015-07-14,30,10,,
2015-07-15,31,13,,
2015-07-16,31,13,,
2015-07-17,32,11,,
2015-07-18,31,11,,
2015-07-19,33,10,,
2015-07-20,32,10,,
2015-07-21,34,10,,
2015-07-22,30,10,,
2015-07-23,30,10,,
