date,"MCM Innovation B.V.",TomTom,"V-NOM | Bemiddelaar in de techniek",Philips,"TechMatch B.V.","Young Engineering B.V.",Backbase,Technicum,"Eminent Groep BV","NOVA Engineering nv",Trinamics,WerkTalent,"Utrecht University",Vanderlande,"Fujitsu Nederland","See More","Twente Branding",Exact,KPN,Elsevier,LeaseWeb,"Canon Europe Ltd.","Van Doren Engineers",GlobalCollect
2015-05-28,,32,,23,,,,,,,,,,15,,5,,9,,,,,6,5
2015-05-28,,32,,24,,,,,,,,,,15,,,,9,,,,,6,
2015-05-29,,31,,26,,,,,,,,,,15,12,6,,9,,,,,6,
2015-05-30,,31,,25,,,,,,,,,,15,12,6,,9,,,,,6,
2015-05-31,,31,,25,,,,,,,,,,15,12,6,,9,,,,,6,
2015-06-01,,32,,20,,,,,,,,,,15,12,6,,9,,,,,6,
2015-06-02,,34,,20,,,,,,,,,,15,13,5,,9,,,,,5,
2015-06-03,,35,,19,,,,,,,,,,15,12,,,8,,,,,,
2015-06-04,,34,,21,,,,,,,,,,14,12,,,8,,,,,,
2015-06-05,,34,,20,,,,,,,,,,14,12,5,,7,,,,5,,
2015-06-06,,34,,18,,,,,,,,,,14,12,5,,7,,,,5,,
2015-06-07,,34,,18,,,,,,,,,,14,12,5,,7,,,,5,,
2015-06-08,,34,,18,,,,,,,,,,14,12,5,,7,,,,5,,
2015-06-09,,33,,21,,,,,,,,,,13,12,,,7,,,,,,
2015-06-10,,34,,23,,,,,,,,,,13,12,,,7,,,,,,
2015-06-11,,35,,25,,,,,,,,,,11,12,,,7,,,,,,
2015-06-12,,35,,25,,,,,,,,,,9,12,,,6,,,,,,
2015-06-13,,35,,24,,,,,,,,,,9,12,,,6,,,,,,
2015-06-14,,35,,24,,,,,,,,,,9,12,,,6,,,,,,
2015-06-15,,32,,24,,,,,,,,,,9,12,,,7,,,,,,
2015-06-16,,32,,25,,,,,,,,,,8,12,,,7,,,,,,
2015-06-17,,33,,22,,,,,,,,,7,8,11,7,,7,,,,,,
2015-06-18,,32,,25,,,,,,,,,7,8,11,7,,7,,,,,,
2015-06-19,,33,,28,,,,,,,,,10,6,11,5,,7,5,,,,,
2015-06-20,,33,,28,,,,,,,,,10,6,10,5,,7,5,,,,,
2015-06-21,,33,,27,,,,,,,,,10,6,10,5,,7,5,,,,,
2015-06-22,,33,,27,,,,,,,,,9,6,10,5,,7,5,,,,,
2015-06-23,,33,,28,,,,,,,,,8,5,10,5,,7,5,5,,,,
2015-06-24,,35,,30,,,,,,,,,8,6,10,5,,7,5,5,,,,
2015-06-25,,34,,30,,,,,,,,,9,7,10,5,,8,5,5,5,,,
2015-06-26,21,33,19,31,,,,,,,,,9,7,10,5,7,8,5,5,5,,,
2015-06-27,50,33,24,31,12,9,15,,11,10,12,8,9,,10,8,9,8,,,,,,
2015-06-28,50,33,29,32,12,9,15,9,11,10,12,,9,,10,8,9,8,,,,,,
2015-06-29,63,32,30,29,19,17,15,12,12,11,12,10,10,,10,9,9,,,,,,,
2015-06-30,64,32,30,28,19,17,15,13,12,11,12,10,10,,10,9,9,,,,,,,
2015-07-01,77,33,30,29,19,17,16,13,13,13,12,11,10,10,10,10,,,,,,,,
